CODICE_INTERNO;ISIN;DESCRIZIONE;CODICE_ENTITA;DESCRIZIONE_ENTITA;CODICE_GRUPPO;DESCRIZIONE_GRUPPO;CODICE_SOTTOGRUPPO;DESCRIZIONE_SOTTOGRUPPO;CODICE_FAMIGLIA_PRODOTTO;DESCRIZIONE_FAMIGLIA_PRODOTTO;CODICE_LIVELLO_COMPLESSITA;DESCR_LIVELLO_COMPLESSITA;DATA_EMISSIONE;DATA_SCADENZA;ILLIQUIDO;OFFERTA_ATTIVA;OMD_PUNTUALE;OMD_CLASSE;COSTO_STRUMENTO;HP_PUNTUALE;HP_CLASSE;TIPO_EMITTENTE;NOME_EMITTENTE;CODICE_EMITTENTE;DIVISA;QUOTATO;FLAG_TITOLO_MLR;PERIMETRO_PTF;STRUMENTO_MIFID;FIDT;CODICE_TIPO;DATA_INIZIO_EMISSIONE;DATA_FINE_EMISSIONE;LIQUIDABILITA;DS_MERCATO;IN_POSIZIONE;CODICE_PARENT_COMPANY;DESCRIZIONE_PARENT_COMPANY;FLAG_CONTROLLO_EMITTENTE;QUALITA_PRODOTTO;TIPOLOGIA_POLIZZA;PRODOTTO_CEDOLA;CODRAGGRUPPAMENTO;IS_ESG
AF 00000075060;BMPS00012334;VITICOLTURA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;EMITTENTE TITOLI ITALIA;0006204;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00007263738;LKQ CORP;1;;;0;214;1
AF 00000075500;BMPS00017396;UNIF FIMPAR;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;EMITTENTE TITOLI ITALIA;0006204;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00007263738;LKQ CORP;1;;;0;214;1
AF 00000075510;BMPS00021595;UNIF GR MAG INDUST;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;EMITTENTE TITOLI ITALIA;0006204;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00007263738;LKQ CORP;1;;;0;214;1
AF 00000075520;BMPS00005705;EUROPROGRAM SVAGTU;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;EMITTENTE TITOLI ITALIA;0006204;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00007263738;LKQ CORP;1;;;0;214;1
AF 00000076030;IT0000076031;ANSALDO TRASPORTI;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;LEONARDO - SOCIETA  PER AZIONI;0000055;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000128107;LEONARDO - SOCIETA  PER AZIONI;1;;;0;214;1
AF 00000076050;IT0000076056;FOCHI;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;FILIPPO FOCHI S.P.A.;0000453;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010364;FILIPPO FOCHI S.P.A.;1;;;0;214;1
AF 00000076080;IT0000076080;**ATURIA 1000;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;ATURIA SPA;0003398;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010196;ATURIA SPA;1;;;0;214;1
AF 00000076400;IT0000076403;FIAT ORD;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;FIAT CHRYSLER AUTOMOBILES N.V.;0044106;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00041633927;FIAT CHRYSLER AUTOMOBILES N.V.;1;;;0;214;1
AF 00000076410;IT0000076411;FIAT PRIV;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;FIAT CHRYSLER AUTOMOBILES N.V.;0044106;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00041633927;FIAT CHRYSLER AUTOMOBILES N.V.;1;;;0;214;1
AF 00000076420;IT0000076429;FIAT RISP PORT NC;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;FIAT CHRYSLER AUTOMOBILES N.V.;0044106;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00041633927;FIAT CHRYSLER AUTOMOBILES N.V.;1;;;0;214;1
