CODICE_INTERNO;ISIN;DESCRIZIONE;CODICE_ENTITA;DESCRIZIONE_ENTITA;CODICE_GRUPPO;DESCRIZIONE_GRUPPO;CODICE_SOTTOGRUPPO;DESCRIZIONE_SOTTOGRUPPO;CODICE_FAMIGLIA_PRODOTTO;DESCRIZIONE_FAMIGLIA_PRODOTTO;CODICE_LIVELLO_COMPLESSITA;DESCR_LIVELLO_COMPLESSITA;DATA_EMISSIONE;DATA_SCADENZA;ILLIQUIDO;OFFERTA_ATTIVA;OMD_PUNTUALE;OMD_CLASSE;COSTO_STRUMENTO;HP_PUNTUALE;HP_CLASSE;TIPO_EMITTENTE;NOME_EMITTENTE;CODICE_EMITTENTE;DIVISA;QUOTATO;FLAG_TITOLO_MLR;PERIMETRO_PTF;STRUMENTO_MIFID;FIDT;CODICE_TIPO;DATA_INIZIO_EMISSIONE;DATA_FINE_EMISSIONE;LIQUIDABILITA;DS_MERCATO;IN_POSIZIONE;CODICE_PARENT_COMPANY;DESCRIZIONE_PARENT_COMPANY;FLAG_CONTROLLO_EMITTENTE;QUALITA_PRODOTTO;TIPOLOGIA_POLIZZA;PRODOTTO_CEDOLA;CODRAGGRUPPAMENTO;IS_ESG
AF 00000067230;BMPS00082741;IMPIANTI  SRL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;PRIVATO - ENTE FINANZIARIO;IMPIANTI S.R.L.;0003363;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000011910;IMPIANTI S.R.L.;1;;;0;214;1
AF 00000067280;BMPS00082722;SOG.INT.LOC.AP.CENT;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;SOGGETTO INTERMEDIARIO LOCALE APPENNINO;0001499;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000012562;SOGGETTO INTERMEDIARIO LOCALE APPENNINO CENTRALE SOCIETA' CONSORTILE A R.L. IN LIQUIDAZIONE;1;;;0;214;1
AF 00000067320;BMPS00008832;PATTO 2000  SCRL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;PATTO 2000 SOCIETA CONSORTILE A RESPONS;0001663;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000012441;PATTO 2000 SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA;1;;;0;214;1
AF 00000067340;BMPS00016853;INTESA ARETINA SCARL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;INTESA ARETINA S.C.A.R.L.;0002798;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000014274;INTESA ARETINA S.C.A.R.L.;1;;;0;214;1
AF 00000067490;IT0001427472;CONFIDICOOP MARCHE S;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;CONFIDICOOP MARCHE - SOCIETA  COOPERATIV;0012244;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00071488240;CONFIDICOOP MARCHE - SOCIETA  COOPERATIVA;1;;;0;214;1
AF 00000067630;BMPS00086813;POLO UNIV.GROSSETANO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;POLO UNIVERSITARIO GROSSETANO SOCIETA C;0013739;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00064882404;POLO UNIVERSITARIO GROSSETANO SOCIETA' CONSORTILE A R.L.;1;;;0;214;1
AF 00000067670;IT0000067675;CONSORZIO ETRURIA SC;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;CONSORZIO ETRURIA SOCIETA COOPERATIVA A;0014851;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00019622925;CONSORZIO ETRURIA SOCIETA' COOPERATIVA A R.L. IN LIQUIDAZION;1;;;0;214;1
AF 00000067700;IT0000067709;MOLISEINNOVAZ SCRL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;MOLISEINNOVAZIONE - SOCIETA  CONSORTILE;0015231;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000400035;MOLISEINNOVAZIONE - SOCIETA  CONSORTILE PER AZIONI;1;;;0;214;1
AF 00000067710;BMPS00106075;SEV-SOC.ESCAVAZ.VENE;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;S.E.V. - SOCIETA ESCAVAZIONE VENETA - S;0015405;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000400182;S.E.V. - SOCIETA' ESCAVAZIONE VENETA - S.R.L.;1;;;0;214;1
AF 00000067780;IT0000067782;EX.T.R.E.ME.SCARL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;EX.T.R.E.ME. (EXPERIMENTAL TERMINI RE-AR;0016270;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000400882;EX.T.R.E.ME. (EXPERIMENTAL TERMINI RE-ARRANGEMENT ECO-ENERGY METHOD) S.R.L. SOCIETA' CONSORTILE MISTA IN LIQUIDAZIONE;1;;;0;214;1
AF 00000067820;BMPS00122635;PROM E SV V.CECINA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;PROMOZIONE E SVILUPPO VAL DI CECINA S.R.;0016451;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000400989;PROMOZIONE E SVILUPPO VAL DI CECINA S.R.L. IN LIQUIDAZIONE;1;;;0;214;1
AF 00000067910;IT0000067915;G.IMM.ASTOR;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;G.IMM.ASTOR S.R.L.;0016342;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;0;214;1
AF 00000068041;BMPS00135360;LE ROBINIE ORD;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;LE ROBINIE S.P.A.;0017561;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000411427;LE ROBINIE S.P.A.;1;;;0;214;1
AF 00000068110;IT0000068111;BONAPARTE SPA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;PRIVATO;RISANAMENTO SPA;0011388;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00007014785;RISANAMENTO SPA;1;;;0;214;1
AF 00000068170;IT0000068178;FINARTE-CASA D'ASTE;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;FINARTE CASA D  ASTE SOCIETA  PER AZIONI;0001256;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000128104;FINARTE CASA D  ASTE SOCIETA  PER AZIONI IN BREVE FINARTE CASA D  ASTE S.P.A. -;1;;;0;214;1
AF 00000068180;IT0000068186;TEXMANTOVA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;TEXMANTOVA S.P.A.;0003358;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010346;TEXMANTOVA S.P.A.;1;;;0;214;1
AF 00000068240;IT0000068244;UNIPAR;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;UNIPAR UNIONE NAZIONALE PARTECIPAZIONI;0001018;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010951;UNIPAR UNIONE NAZIONALE PARTECIPAZIONI;1;;;0;214;1
AF 00000068250;IT0000068251;UNIPAR RISPORT NC;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;UNIPAR UNIONE NAZIONALE PARTECIPAZIONI;0001018;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010951;UNIPAR UNIONE NAZIONALE PARTECIPAZIONI;1;;;0;214;1
AF 00000068280;IT0000068285;UNI LAND ORD SPA;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;0;0;;;0;;;ALTRO;UNI LAND S.P.A.;0001248;EUR;0;0;1;1;0;;;;6.34982;NON QUOTATO;0;00011837476;Alberto Mezzini Holding Srl;1;;;0;214;1
AF 00000068290;IT0000068293;PARAMATTI;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;2;Bassa;;20991231;1;0;;;0;99;4;ALTRO;C.P.F. COMPAGNIA PARAMATTI FINANZIARIA S;0001796;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000010216;C.P.F. COMPAGNIA PARAMATTI FINANZIARIA S.P.A.;1;;;0;214;1
AF 00000068350;IT0000068350;PIERREL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;PIERREL S.P.A.;0036361;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00010799943;PIERREL S.P.A.;1;;;0;214;1
AF 00000068370;IT0000068376;PIERREL RISPORT NC;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;PIERREL S.P.A.;0036361;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00010799943;PIERREL S.P.A.;1;;;0;214;1
AF 00000068480;IT0000068483;CENTEN E ZINELLI RG;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;GEQUITY S.P.A.;0002812;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00054476053;BELIEVE S.R.L.;1;;;0;214;1
AF 00000068521;IT0000068525;SAIPEM;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;1;Non Complesso;;20991231;0;0;;;0;;;ALTRO;SAIPEM;;EUR;0;0;1;1;0;;;;.115;BORSA VALORI ITALIANA;0;;SAIPEM;1;;;;;1
AF 00000068553;BMPS00616954;SAIPEM BUONI ACQ;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;SAIPEM S.P.A.;0001259;ITL;0;0;1;1;0;;;;11;NON QUOTATO;0;00000117919;SAIPEM S.P.A.;1;;;0;214;1
AF 00000069490;BMPS00136170;ABI LAB RIC. E INNOV;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;ABI LAB - CENTRO DI RICERCA E INNOVAZION;0017638;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000411473;ABI LAB - CENTRO DI RICERCA E INNOVAZIONE PER LA BANCA;1;;;0;214;1
AF 00000069600;IT0004043946;CENTROFIDI TERZIARIO;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;CENTROFIDI TERZIARIO S.C.P.A.;0027379;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000421657;CENTROFIDI TERZIARIO S.C.P.A.;1;;;0;214;1
AF 00000069680;IT0000069689;CIRENE FINANCE SRL;2;AZIONI E DIRITTI;;;;;RC00010;AZIONI;7;NM;;20991231;1;0;;;0;99;4;ALTRO;CIRENE FINANCE S.R.L.;0029517;EUR;0;0;1;1;0;;;;11;NON QUOTATO;0;00000191078;Banca Monte dei Paschi di Siena SpA;1;;;0;214;1
